No. de registro,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Cuenta con programa de remediación aprobado,x,y
2031,2018,Pasivo ambiental,"Comercial Mexicana de Pinturas, S.A. de C.V.",México,Acolman,"Marcos Achar Lobaton No. 6, Tepexpan",Derrames y/o fugas,Fabricación de pinturas y recubrimientos,Industria química,Hidrocarburos ligeros,Hidrocarburos,4731,23834,Si,-98.934,19.609
141,2008,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Actopan,"Km 314+600 oleoducto de 30"" Ø Nuevo Teapa-Poza Rica, en el Ejido Palmas de Abajo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,1792,6781.24,Si,-96.399,19.615
2065,2019,Pasivo ambiental,"Comercial Importadora, S. de R.L. de C.V.",México,Tultitlán,"Presa La Angostura 5, colonia San Francisco Chilpan, C.P. 54944",Derrames y/o fugas,Fabricación de aceites y grasas lubricantes,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos de  fracción media y pesados,Hidrocarburos,137.75,137.35,Si,-99.144,19.618
2391,2021,Pasivo ambiental,"Shell México, S.A. de C.V",México,Nicolás Romero,"Avenida Hidalgo No. 119, colonia 5 de Febrero",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,1205.7,1204.1,No,-99.307,19.619
2495,2023,Emergencia ambiental,"Transportes JSV, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Las Vigas de Ramírez,"Km 133+050 carretera No. 2045 Perote-Banderilla libramiento de Xalapa (directo), tramo Perote-Banderilla",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,279,558,Si,-97.035,19.626
2035,2018,Emergencia ambiental,"Transportes Corpored, S.A. de C.V.",Quintana_Roo,José María Morelos,"Km 154+900 carretera No. 184 Teya-Felipe Carrillo Puerto, tramo entronque Peto-Santa Rosa",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,9,N.E.I.,No,-88.615,19.66
2022,2018,Pasivo ambiental,"Servicio Despachador Mexicano SDM, S.A. de C.V.",México,Cuautitlán Izcalli,Calzada de Guadalupe No. 242 colonia Centro,Derrames y/o fugas,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,N.E.I.,N.E.I.,No,-99.186,19.67
1615,2014,Emergencia ambiental,Pemex Refinación,México,San Martín de las Pirámides,"Km 188+850 poliducto de 18”-16” Ø Poza Rica-Venta de Carpio-Azcapotzalco, Ejido San Fernando",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,533.44,484.88,Si,-98.803,19.683
1186,2012,Emergencia ambiental,Pemex Refinación,México,Otumba,"Km 186+300 poliducto 18""-14"" Ø Poza Rica-Cima de Togo-Azcapotzalco, poblado Cuautlacingo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,1128.67,3186.59,Si,-98.789,19.688
2073,2019,Pasivo ambiental,"Comercial Agrícola La Viña, S.A. de C.V.",Michoacán_de_Ocampo,Morelia,"Eje Oriente-Poniente No. 3, Ciudad Industrial, C.P. 58200",Derrames y/o fugas,Comercio al por mayor de frutas y verduras frescas,"Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",Hidrocarburos de  fracción media y pesados,Hidrocarburos,68,212.39,No,-101.151,19.726
2395,2022,Emergencia ambiental,"Tractotanques del Sureste, S.A. de C.V.",Quintana_Roo,José María Morelos,Km 142+200 carretera No. 184 Mérida-Chetumal ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,220,378,Si,-88.686,19.733
2309,2021,Emergencia ambiental,Erick Alonso Medina Martínez,Jalisco,Tomatlán,"Km 095+250 carretera federal No. 200, Manzanillo-Puerto Vallarta",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,120,324,Si,-105.223,19.733
2360,2022,Pasivo ambiental,"Gerdau Corsa, S.A.P.I. de C.V.",Hidalgo,Tepeapulco,"Km 3 carretera México-Ciudad Sahagún S , Zona Industrial, C.P. 43990 (Área de planta de tratamiento de humos y polvos)",Derrames y/o fugas,Fabricación de desbastes primarios y ferroaleaciones,Industrias metálicas básicas,Metales,Metales y metaloides,5011,1996.66,Si,-98.599,19.749
2054,2019,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Michoacán_de_Ocampo,Charo,"Placa kilométrica PK-N-354+465, en la vía Lázaro Cárdenas, entre las estaciones Quirio y Atapaneo",Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,"Hidrocarburos pesados, petrolíferos",Hidrocarburos,1270,1072.8,Si,-101.069,19.751
2315,2022,Emergencia ambiental,Edgar Arias Garfias,Michoacán_de_Ocampo,Charo,Km 150 carretera Maravatío-Morelia,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,448,806.4,Si,-101.022,19.765
2048,2019,Pasivo ambiental,"Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.",Campeche,Campeche,"Calle 24 entre Calle 9 y Calle 11 del km FA-715 de la línea férrea FA, entre las estaciones de Campeche y Chiná",Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,120.32,439.77,Si,-90.496,19.77
1949,2017,Pasivo ambiental,"Bombardier Transportation México, S.A. de C.V.",Hidalgo,Tepeapulco,"Domicilio conocido S , zona industrial, C.P. 43990, Ciudad de Sahagún",Derrames y/o fugas,Fabricación de equipo ferroviario,Fabricación de equipo de transporte,Hidrocarburos de  fracción media y pesados,Hidrocarburos,29120.79,272397.53,Si,-98.592,19.771
2343,2022,Emergencia ambiental,"Trans Energéticos, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Alto Lucero de Gutiérrez Barrios,"Carretera federal No. 180, km 160+700 Veracruz-Poza Rica en el poblado de Palma Sola",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,245.22,253.56,No,-96.442,19.79
613,2010,Pasivo ambiental,Comisión Federal de Electricidad,Campeche,Campeche,"Central Termoeléctrica Lerma de la CFE, km 10 carretera Campeche-Champotón",Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Metales,Metales y metaloides,3640.3,886.03,Si,-90.613,19.795
1748,2015,Emergencia ambiental,Pemex Refinación,México,Huehuetoca,"Km 031+900 oleoducto de 24"" Ø tramo Venta de Carpio-Tula",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,"Petróleo crudo, petrolíferos",Hidrocarburos,2994.07,8905,No,-99.175,19.815
2455,2022,Emergencia ambiental,"Transportes Promotores de Servicio, S.A. de C.V.",México,Huehuetoca,Km 01 carretera Tula-Jorobas,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,138,370,Si,-99.249,19.825
1546,2014,Emergencia ambiental,"Especialíquidos, S.A. de C.V.",Hidalgo,Villa de Tezontepec,"Km 144+750 autopista Arco Norte, tramo caseta de peaje Zapotlán-caseta de peaje Tulancingo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,113.59,260,No,-98.755,19.878
1183,2012,Emergencia ambiental,Roberto Velarde Rodríguez,Michoacán_de_Ocampo,Zinapécuaro,"Km 202+200 autopista No. 15D, México-Guadalajara",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,56.3,124.72,Si,-100.787,19.9
2419,2022,Emergencia ambiental,"III Servicios, S.A. de C.V.",México,Acambay de Ruíz Castañeda,Km 140+200 carretera No. 40-D Arco Norte,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,122.5,220.5,Si,-99.836,19.923
693,2011,Emergencia ambiental,"Transportes Corcuera, S.A. de C.V.",Hidalgo,Tolcayuca,Km 129 del entronque México-Pachuca-Arco Norte,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Ácidos,Ácidos y bases,630,341,Si,-98.893,19.928
2408,2022,Emergencia ambiental,"Litroil, S.A. de C.V.",México,Jilotepec,Km 39+350 Autopista Arco Norte,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,159.5,741.95,Si,-87.612,19.951
544,2010,Emergencia ambiental,Pemex Refinación,Hidalgo,Tepeji del Río de Ocampo,"Km 025+300 poliducto de 16"" Ø Tula-Toluca, en la comunidad del Zapote ",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,12230.275,17535.95,Si,-99.425,19.965
1187,2012,Emergencia ambiental,Pemex Refinación,Hidalgo,Cuautepec de Hinojosa,"Km 012+748 poliducto de 18""-14"" Ø Poza Rica-Cima de Togo-Azcapotzalco (nuevo trazo del poliducto de 18"" Ø Cima-Tecocomulco), poblado de San Lorenzo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,52.8,105.6,Si,-98.315,19.975
925,2011,Emergencia ambiental,"Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.",Campeche,Tenabo,"Km ferroviario FA 755+440 de la División Mayab línea férrea Coatzacoalcos-Mérida, tramo Tenabo-Campeche",Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,1388.41,573.56,Si,-90.275,20.007
2409,2023,Emergencia ambiental,"Energéticos y Reciclados, S.A. de C.V.",Jalisco,Atoyac,Km 49+700 carretera federal 54-D Guadalajara-Colima,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,285,147.9,Si,-103.534,20.01
1170,2012,Emergencia ambiental,Pemex Refinación,Hidalgo,Cuautepec de Hinojosa,"Km 115+556 poliducto de 18”-14”/18” Ø Poza Rica-Cima de Togo-Azcapotzalco (tramo de 18” Ø Cima de Togo-V.S. Tecocomulco), en el poblado de Alhuajoyucan",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,50.584,27.6,Si,-98.231,20.012
449,2010,Emergencia ambiental,"Autotanques Peninsulares, S.A. de C.V.",Campeche,Tenabo,"Km 39+300 carretera federal No. 180 Campeche-Mérida, tramo Campeche-Tenabo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,45,27,Si,-90.248,20.024
2411,2021,Emergencia ambiental,"Petro Oro, S.A. de C.V.",México,Soyaniquilpan de Juárez,Km 096+500 carretera 1720 México-Querétaro,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,114,163.8,Si,-99.549,20.031
2319,2020,Pasivo ambiental,"Shell México, S.A. de C.V",Hidalgo,Atitalaquia,"Estación de Servicio ""Estación Tula"", carretera Jorobas—Tula, km 25.8, La Loma",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes","Hidrocarburos pesados, petrolíferos",Hidrocarburos,140,170,No,-99.26,20.042
729,2011,Emergencia ambiental,Pemex Refinación,Hidalgo,Epazoyucan,"Km 041+700 poliducto de 14"" Ø Cima de Togo-Tula, Sector Ductos Catalina, poblado de Tres Moneras",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,71.35,35.15,Si,-98.583,20.05
1228,2012,Emergencia ambiental,Pemex Refinación,Puebla,Ahuazotepec,Km 105+540 poliducto de 18”-14” Ø Poza Rica-Cima de Togo-Azcapotzalco en el poblado de San Vicente,Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,3715.29,17092.46,Si,-98.161,20.062
659,2011,Pasivo ambiental,"ASA Organización Industrial, S.A. de .C.V.",Jalisco,Teocuitatlán de Corona,"Km 41.5 autopista Guadalajara-Manzanillo, Tehuantepequillo",Derrames y/o fugas,Fabricación de explosivos,Industria química,Hidrocarburos de  fracción media,Hidrocarburos,N.E.I.,N.E.I.,No,-103.378,20.092
230,2009,Pasivo ambiental,"Texnova, S.A. de C.V.",Hidalgo,Tulancingo de Bravo,Carretera Tulancingo-Huapalcalco No. 1510 colonia Caltengo,Derrames y/o fugas, Acabado de productos textiles,Fabricación de insumos textiles y acabado de textiles,Hidrocarburos pesados,Hidrocarburos,N.E.I.,N.E.I.,No,-98.366,20.093
2325,2022,Emergencia ambiental,"Autopista Arco Norte, S.A de C.V.",Hidalgo,Tula de Allende,Km 077+900 autopista Arco Norte,Derrame,"Autotransporte foráneo de materiales y residuos peligrosos. Actual: Construcción de carreteras, puentes y similares",Autotransporte de carga. Actual: Construcción de obras de ingeniería civil,Petrolíferos,Hidrocarburos,203,419.29,Si,-99.296,20.096
1715,2015,Emergencia ambiental,Pemex Refinación,Hidalgo,Ajacuba,"Km 23+069 poliducto de 8"" Ø Tula-Pachuca, Ejido Cuauhtémoc",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,4989.01,14741.86,Si,-99.13,20.1
1911,2017,Emergencia ambiental,Antonio Escalera Cacho,Jalisco,Teocuitatlán de Corona,Km 002+000 carretera Tuxcueca-Citala,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,382.5,384.5,Si,-103.375,20.102
480,2010,Emergencia ambiental,Pemex Refinación,Hidalgo,Tula de Allende,"Km 011+200 poliducto 12""-14""-12"" Ø, Tula-Salamanca, poblado de Santa Ana Ahuehuepan",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,3038.57,10186.27,Si,-99.307,20.107
172,2008,Emergencia ambiental,Pemex Refinación,Hidalgo,San Agustín Tlaxiaca,"Km 183+904 poliducto de 14""-14"" Ø Poza Rica-Cima de Togo-Refinería Tula",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,98.54,313.21,Si,-98.923,20.118
121,2008,Emergencia ambiental,Pemex Refinación,Hidalgo,Ajacuba," Km 212+865 poliducto de 14""-14"" Ø Poza Rica-Cima de Togo-Refinería Tula",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,560,3625,Si,-99.112,20.119
1455,2013,Emergencia ambiental,Pemex Refinación,Hidalgo,San Agustín Tlaxiaca,"Km 046+56 poliducto de 8” Ø Tula-Pachuca, en el poblado de Ixcuinquitlapilco",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,1093.34,1364.83,Si,-98.914,20.13
1147,2012,Emergencia ambiental,Pemex Refinación,Hidalgo,San Agustín Tlaxiaca,"Km 195+409 poliducto de 14” Ø Poza Rica-Cima de Togo-Tula, localizado en el poblado de Ixcuinquitlapilco",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,105,907,Si,-98.956,20.134
481,2010,Emergencia ambiental,Pemex Refinación,Puebla,Huauchinango,"Km 095+750 al 96+000 poliducto de 14""-14"" Ø Poza Rica-Cima de Togo-Refinería Tula, poblado de Venta Grande",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,37819.57,18781.04,Si,-98.098,20.134
2458,2022,Emergencia ambiental,"Transportes Presurizados, S.A. de C.V.",Hidalgo,Tulancingo de Bravo,Km  97 autopista México-Tuxpan,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,397.25,578.03,Si,-98.37,20.136
2330,2022,Emergencia ambiental,"Transportadores Unidos TUSA, S.A. de C.V.",Hidalgo,Acaxochitlán,Km 124+500 autopista No. 132D Tulancingo-Huauchinango,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,150,240,Si,-98.106,20.137
2479,2022,Emergencia ambiental,"Trailers Técnicos, S.A. de C.V.",Hidalgo,Acaxochitlán,km 112 + 200 carretera federal No. 132-D México-Tuxpan,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,15.29,50.84,Si,-98.235,20.137
2415,2021,Emergencia ambiental,"Petro Transportes, S.A. de C.V.",Hidalgo,Acaxochitlán,Km 122+200 carretera 2715 Tulancingo-Tejocotal,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,208.2,687.25,Si,-98.143,20.142
2478,2022,Emergencia ambiental,"Transportes Presurizados, S.A. de C.V.",Hidalgo,Acaxochitlán,km 121+600 carretera no. 132-D Tulancingo-Tihuatlán directo,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,50,56.25,Si,-98.148,20.142
57,2008,Emergencia ambiental,Pemex Refinación,Puebla,Huauchinango,"Km 099+700 oleoducto de 24""-12""-14"" Ø Poza Rica-Juandhó-San Juan del Río-Salamanca, poblado de Mesa de Capulines ",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,1878,3731.71,Si,-98.087,20.146
1446,2013,Emergencia ambiental,Pemex Refinación,Hidalgo,Tetepango,"km 22+084 poliducto de 8” Ø Tula-Pachuca, en el poblado de Ulapan",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,2373.71,1561.38,Si,-99.157,20.151
2437,2021,Emergencia ambiental,María Gema Sixtos Barrón,Puebla,Huauchinango,Km 138+400 carretera Tulancingo-Tuxpan,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,788,315.2,Si,-98.028,20.175
1405,2013,Emergencia ambiental,"Express Milac, S.A. de C.V.",Michoacán_de_Ocampo,Ecuandureo,"Km 26 carretera federal No. 37, tramo La Piedad-Carapan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,24.2,23.28,Si,-102.163,20.219
1577,2014,Emergencia ambiental,Pemex Refinación,Hidalgo,Chapantongo,"Km 035+630 poliducto de 16"" Ø Tula-Salamanca, poblado de San Bartolo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,143.75,445.47,Si,-99.468,20.22
2295,2021,Emergencia ambiental,"Transporte y Servicios STN, S.A. de C.V.",Jalisco,Zacoalco de Torres,Km 24 autopista Colima-Guadalajara,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,168,520.8,Si,-103.535,20.23
730,2011,Emergencia ambiental,Pemex Refinación,Puebla,Huauchinango,"Km 080+068 oleoducto de 24""-12""-14""Ø Poza Rica-Juandhó-San Juan del Río-Salamanca y km 080+085 poliducto de 158""-14""Ø Poza Rica-Cima de Togo-Azcapotzalco, Sector Ductos Catalina, poblado de Cuaxicala",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,"Petróleo crudo, petrolíferos",Hidrocarburos,282.24,2364.2,Si,-98.024,20.231
1337,2012,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo Riachuelos 1-B, el sitio se ubica a una distancia aproximada de 1.1 kilómetros al este de la comunidad Benito Juárez",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,258.06,797.94,Si,-97.162,20.274
2172,2019,Emergencia ambiental,"Trans Tanques de Occidente, S.A. de C.V.",Jalisco,Zacoalco de Torres,"Autopista Colima-Guadalajara, km 016+100",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,352,17,No,-103.558,20.3
1493,2013,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Espinal,Tanque de 210 barriles Furbero 1617 comunidad El Zapotal,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1964.07,1342.7,Si,-97.463,20.318
1651,2014,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Línea de descarga de 4"" Ø no metálica del Pozo Hallazgo 15 (BN) abierto a la Batería de Separación Hallazgo II km 001+540",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,1640.91,245,No,-97.157,20.319
1659,2014,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Oleoducto de 8” Ø (fuera de operación) Batería de Separación Hallazgo II-Batería de Separación Hallazgo I, a la altura del km 2+250, poblado de Santa Cruz",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,8041.48,1330,No,-97.171,20.332
1306,2012,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Macropera Furbero 1567,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,N.E.I.,N.E.I.,No,-97.405,20.338
1452,2013,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Km 400 oleogasoducto de 6” Ø de la Macropera Furbero 1461-Macropera Furbero 1465,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,751.63,171.89,Si,-97.448,20.339
1620,2014,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Oleogasoducto de 8” Ø Macropera Furbero 1465 a entronque (Macropera Furbero, 1405, 1461, Fresa) con destino a Macropera Furbero 1489 en el km 0+150, comunidad El Triunfo",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1274.8,1227.89,Si,-97.441,20.339
1174,2012,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Presa del Pozo Hallazgo 71-A,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,150,90,No,-97.171,20.34
1817,2016,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Pozo Furbero 1697, ubicado en la comunidad de San José de Las Lajas",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,4931.58,4211.47,No,-97.468,20.341
1465,2013,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Línea de 8” Ø oleogasoducto de llegada de la Macropera Presidente Alemán 2094 y Presidente Alemán 1646,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,6959.16,4885.63,Si,-97.352,20.343
1454,2013,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Km 750 oleogasoducto de 6” Ø de la Macropera Furbero 1405 interconexión con la Macropera Furbero 1465-Furbero1489,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,921.28,248.74,Si,-97.444,20.344
125,2008,Emergencia ambiental,"Usuarios de la Primera Unidad Módulo Uno del Distrito de Riego 023 de San Juan del Río, Qro., A.C.",Querétaro,San Juan del Río,"Km 7 camino al Rancho El Zapote, comunidad La Estancia",Fuga,Construcción de sistemas de riego agrícola,Construcción de obras de ingeniería civil,"Hidrocarburos pesados, petrolíferos",Hidrocarburos,28.1,11.24,Si,-99.981,20.344
539,2010,Emergencia ambiental,"Transportes Hernie, S.A. de C.V.",Puebla,Xicotepec,"Km 131+100 carretera nacional No. 130, Pachuca-Tuxpan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,2410,160,Si,-97.942,20.346
1289,2012,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo San Andrés 93-A, el sitio se ubica aproximadamente a 2.3 kilómetros al oeste del poblado Islas Juan Rosas",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,248.1,41.13,Si,-97.19,20.347
1293,2012,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo San Andrés 93-B, el sitio se ubica aproximadamente a 2.3 kilómetros al oeste del poblado Islas Juan Rosas",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,76.63,22.48,Si,-97.191,20.347
2383,2022,Pasivo ambiental,"Grupo Celanese, S. de R.L. de C.V.",Jalisco,Poncitlán,"Km 78.5 carretera Guadalajara – La Barca, colonia Cuitzeo, C.P. 45965",Derrames y/o fugas,Fabricación de fibras químicas,Industria química,"Hidrocarburos, metales",Mezcla de contaminantes,1274,3689,Si,-102.791,20.352
1240,2012,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Km 000+800 oleogasoducto de 12” Ø interconexión con la Macropera Presidente Alemán 1696-Junior I-Furberos 2331 a Batería de Separación Fobos I,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,2268.14,1202.88,Si,-97.37,20.354
1380,2013,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Aledaño a la línea de descarga no metálica de 4'' Ø del Pozo San Andrés 58, km 000+120, en el poblado Isla de Juan Rosas",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,997.96,645.43,Si,-97.184,20.361
687,2011,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Válvula de compuerta de 8"" Ø-ASA-150-PSI del oleogasoducto de la Macropera Presidente Alemán 1679, poblado de José María Morelos",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,2582.17,2227.52,Si,-97.36,20.361
