No. de registro,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Cuenta con programa de remediación aprobado,x,y
764,2011,Pasivo ambiental,Ferrocarriles Nacionales de México en Liquidación,San_Luis_Potosí,Vanegas,Antiguo taller de ferrocarriles,Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,"Hidrocarburos, petrolíferos",Hidrocarburos,N.E.I.,N.E.I.,No,-100.949,23.883
2453,2022,Emergencia ambiental,"Petro Asfaltos del Sureste, S.A. de C.V.",Sinaloa,Elota,Km 85 +500 carretera federal Mazatlán-Culiacán,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,462.2,1272.82,Si,-106.908,23.884
2308,2021,Emergencia ambiental,"Karzo Transportes, S. de R.L. de C.V.",Tamaulipas,Güémez,Km 28 + 800 carretera federal No. 101 Ciudad Victoria-Matamoros,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,464,406.51,Si,-98.974,23.933
1977,2018,Emergencia ambiental,"JB Grupo Empresarial, S. de R.L. de C.V.",Sinaloa,Elota,"Autopista Mazatlán-Culiacán, km 100+800 Cuerpo A",Derrame,"Autotransporte foráneo de materiales y residuos peligrosos. Actual: Construcción de carreteras, puentes y similares",Autotransporte de carga. Actual: Construcción de obras de ingeniería civil,Otros contaminantes no normados,Otros contaminantes no normados,270,32,Si,-106.979,24.004
2336,2021,Emergencia ambiental,"T Combustibles de Camargo, S.A. de C.V.",Zacatecas,Villa de Cos,Km 169 carretera federal No. 54 tramo Concepción del Oro-Villa de Cos,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,418,740.76,No,-101.589,24.028
1058,2012,Pasivo ambiental,Pemex Refinación,Baja_California_Sur,La Paz,Terminal de Almacenamiento y Reparto de La Paz a 9 km de la carretera estatal No. 11 al norte de la ciudad de La Paz,Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos,Hidrocarburos,1890.56,60300,No,-110.311,24.221
2433,2021,Emergencia ambiental,"Ultradiésel XXI, S.A. de C.V.",Durango,Durango,km 042+300 autopista Durango-Gómez Palacio,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,832,966.94,Si,-104.366,24.31
2153,2019,Emergencia ambiental,"Transportes y Equipos Asamaz, S.A. de C.V.",Sinaloa,Culiacán,Km 144+000 autopista Mazatlán-Culiacán,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,390,663,No,-107.212,24.33
2485,2023,Pasivo ambiental,Pemex Logística,Tamaulipas,Hidalgo,Km 304+000 oleoducto 24” ø Nuevo Teapa- Cadereyta ,Derrames y/o fugas,Otros servicios de intermediación para el transporte de carga,Servicios relacionados con el transporte,Hidrocarburos,Hidrocarburos,1539.38,3672.95,Si,-99.279,24.381
2414,2021,Emergencia ambiental,"Maquiladora de Lubricantes, S.A. de C.V.",Durango,Guadalupe Victoria,"Km 069+000 autopista Torreón-Durango, tramo Durango-Yerbanis",Derrame,Fabricación de aceites y grasas lubricantes,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,162,202.45,Si,-104.176,24.462
