No. de registro,Clasificación de técnica o proceso de tratamiento,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Responsable técnico de la remediación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Técnica o proceso de tratamiento,Año de conclusión de la remediación,Área de suelo remediado m²,Volumen de suelo remediado m³,x,y
1841,Biológicos,2016,Emergencia ambiental,"Transportes Yucarro, S.A. de C.V.","Ecolsur, S.A. de C.V.",Yucatán,Sucilá,"Km 133+500 carretera Mérida-Tizimín No. 176, tramo Temax-Tizimín",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2019,38,26.6,"3,901,965.89","1,083,935.17"
790,Biológicos,2011,Emergencia ambiental,Ninotchska Costa Valcarcel,"Isali, S.A. de C.V.",Jalisco,Hostotipaquillo,"Km 021+250 carretera Hostotipaquillo-Mesa de Flores, tramo Presa La Yesca",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2013,215.98,189.5,"2,283,918.82","1,020,311.34"
203,Biológicos,2009,Emergencia ambiental,María del Socorro Reynoso Reynoso,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Nayarit,Santa María del Oro,Km 001+700 carretera C.D. Chapalilla-Compostela,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2010,300,313.6,"2,226,269.99","1,021,729.21"
2215,Biológicos,2020,Emergencia ambiental,"Servicio Apolo, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Nayarit,Santa María del Oro,"Km 175+800 carretera No. 945 Tepic, tramo entronque Magdalena-San Cayetano, colonia Chapalilla",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado ,2022,65,45.5,"2,227,903.34","1,022,015.14"
2257,Biológicos,2020,Emergencia ambiental,"Transportes Especializados Carmex, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Nayarit,Santa María del Oro,"Autopista Chapalilla-Compostela, km 1+300",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2021,115.92,81.14,"2,226,502.01","1,022,160.65"
1534,Biológicos,2014,Emergencia ambiental,Guillermo Méndez García,"Isali, S.A. de C.V.",Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Km 001+300 tramo federal No. 110 carretera Dolores Hidalgo-San Diego de la Unión,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,297,445.5,"2,616,627.38","1,021,805.24"
15,Químicos,2008,Emergencia ambiental,Pemex Refinación,"Technosan, S.A. de C.V. /Servicios Ambiotrat, S.A. de C.V. ",Jalisco,Lagos de Moreno,"Km 108+450 poliducto 10"" Ø Salamanca-León",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2010,10864.44,32546.37,"2,521,370.16","1,022,693.82"
295,Biológicos,2009,Emergencia ambiental,"Transportes Rodeli, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Nayarit,Compostela,"Km 042+400 carretera federal Tepic-Puente Talismán, tramo Compostela-Las Varas",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2010,38,30.4,"2,195,869.66","1,025,948.63"
1402,Biológicos,2013,Emergencia ambiental,"Transpac, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Yucatán,Progreso,Km 028+400 carretera Mérida-Progreso,Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2014,184,110.4,"3,773,914.27","1,078,264.24"
149,Biológicos,2008,Emergencia ambiental,"Transportes Rodeli, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Nayarit,Compostela,"Km 052+500 carretera No. 200 Tepic-Puente Talismán, tramo Las Varas-Compostela",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2010,275,233.7,"2,190,051.73","1,026,976.57"
1182,Biológicos,2012,Emergencia ambiental,"Trato Fletes, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Nayarit,Compostela,"Km 053+700 camino nacional No. 200 Tepic-Puente Talismán, Chiapas, tramo Compostela-Las Varas",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2013,292.9,167.33,"2,190,150.16","1,027,206.58"
1995,Biológicos,2018,Emergencia ambiental,"Transportes Lal, S.A. de C.V.","Isali, S.A. de C.V. y EQS Consulting Group, S.A. de C.V.",Guanajuato,San Luis de la Paz,"Km 087+200 carretera federal No.57, tramo Querétaro-San Luis de la Paz",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2020,756,622.8,"2,645,281.81","1,031,667.96"
2223,Biológicos,2020,Emergencia ambiental,"Servicios Integrales Argán, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Jalisco,Lagos de Moreno,"Carretera León-Aguascalientes, km 056+035",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado ,2021,2223.5,192.4,"2,498,381.55","1,031,756.90"
1941,Biológicos,2017,Emergencia ambiental,Leonor Guadalupe  Rodríguez Villegas,"Isali, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Naranjos Amatlán,"Km 073+500 carretera federal No. 180, Poza Rica-Tampico",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2020,362.4,606.8,"2,940,238.99","1,040,079.05"
2287,Biológicos,2021,Emergencia ambiental,"Transporte y Servicios STN, S.A. de C.V.","Isali, S.A. de C.V.",Guanajuato,San Luis de la Paz,"Km 96+816 carretera federal No. 57, tramo San Luis Potosí-Querétaro",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2022,236.1,230.72,"2,641,463.84","1,036,519.92"
2187,Biológicos,2019,Emergencia ambiental,"Trans Tanques de Occidente, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Jalisco,San Juan de los Lagos,"Autopista San Juan de los Lagos-Encarnación de Díaz, km 006+200",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2020,640,690,"2,474,975.47","1,036,912.06"
632,Biológicos,2010,Emergencia ambiental,"Flensa, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Jalisco,Lagos de Moreno,"Km 068+100 carretera No. 45D León-Aguascalientes, tramo caseta de peaje León-Lagos de Moreno",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2011,188.5,122.5,"2,488,425.41","1,037,960.18"
970,Biológicos,2011,Emergencia ambiental,"Autotanques Foráneos, S.A. de C.V.","Isali, S.A. de C.V.",Jalisco,Lagos de Moreno,Km 149+800 carretera No. 80 Tampico-Barra de Navidad,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2012,209.41,29.75,"2,512,047.29","1,041,168.33"
1886,Biológicos,2017,Emergencia ambiental,Marco Antonio Vázquez Galicia,"Ecología 2000, S.A. de C.V.",Jalisco,Lagos de Moreno,Km 014+400 autopista Lagos de Moreno-Villa de Arriaga,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2018,456,456,"2,520,363.89","1,049,828.35"
2106,Disposición final,2020,Pasivo ambiental,"Tabacos Desvenados, S.A. de C.V.","Tecnología Ambiental Especializada, S.A. de C.V.",Nayarit,Tepic,"Áreas de tanques de combustóleo ubicada en Paso Superior del Ferrocarril S , colonia Infonavit",Fuga,Beneficio del tabaco,Industria de las bebidas y del tabaco,Hidrocarburos pesados,Hidrocarburos,Disposición final fuera del sitio,2023,1507.59,1795,"2,203,787.55","1,054,233.07"
504,Biológicos,2010,Emergencia ambiental,"Translíquidos del Norte, S.A. de C.V.","Isali, S.A. de C.V.",Jalisco,Lagos de Moreno,"Km 134+500 carretera federal No. 80 Tampico-Barra de Navidad, tramo Ojuelos-Lagos de Moreno",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2011,380.5,342.4,"2,522,166.03","1,051,289.61"
2197,Biológicos,2019,Emergencia ambiental,"Transportes JSV, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Guanajuato,San Luis de la Paz,"Km 117+200 carretera Querétaro-San Luis Potosí, tramo Querétaro-San Luis Potosí",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2020,490,396,"2,630,367.07","1,056,586.09"
1514,Biológicos,2013,Emergencia ambiental,"Transportes Especializados Robles, S.A. de C.V.","Isali, S.A. de C.V.",Nayarit,Tepic,"Km 004+100 carretera No. 15D, México-Nogales",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2016,6.96,6.82,"2,195,742.27","1,062,519.62"
1816,Biológicos,2016,Emergencia ambiental,Alfredo Acosta Delgado,"Ecología 2000, S.A. de C.V.",San_Luis_Potosí,Huehuetlán,"Km 328+500 carretera federal México-Laredo, tramo Ciudad Valles-Tamazunchale",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,1672.5,1493.5,"2,808,683.82","1,064,523.02"
383,Biológicos,2009,Emergencia ambiental,"Royal Transports, S.A. de C.V.","Isali, S.A. de C.V.",Guanajuato,San Felipe,"Km 114+600 carretera León-San Luis Potosí, tramo límite del estado de San Luis Potosí-San Felipe",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2011,626,313,"2,594,990.76","1,066,658.07"
467,Biológicos,2010,Emergencia ambiental,"Trans Energéticos, S.A. de C.V.","Ecología 2000, S.A. de C.V.",San_Luis_Potosí,Santa María del Río,"Km 134+500 camino nacional No. 57 México-Piedras Negras, tramo San Luis Potosí- límite estado de Guanajuato",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2010,1606,272,"2,632,132.89","1,071,333.36"
1535,Biológicos,2014,Emergencia ambiental,"Trans Energéticos, S.A. de C.V.","Isali, S.A. de C.V.",Guanajuato,Ocampo,"Km 48+750 camino nacional No. 80D, Tampico-Barra de Navidad, tramo límite de los estados de San Luis Potosí-Jalisco",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2017,135,132,"2,544,088.79","1,073,699.41"
545,Biológicos,2010,Emergencia ambiental,"Grupo Transpormex, S.A. de C.V.","Ecología 2000, S.A. de C.V.",San_Luis_Potosí,Santa María del Río,"Km 138+500 carretera federal No. 57 México-Piedras Negras, tramo San Luis Potosí-límite estado de Guanajuato",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2010,240.8,36.12,"2,634,283.49","1,074,775.35"
1889,Biológicos,2017,Emergencia ambiental,"Transportes JSV, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Guanajuato,San Felipe,"Km 124+100 carretera San Felipe-Cerro Gordo, en el tramo identificado como San Felipe-Villa de Reyes",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2019,650,603,"2,599,567.74","1,074,819.31"
2249,Biológicos,2020,Emergencia ambiental,"Autotanques Petroquímicos, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Guanajuato,Ocampo,Km 050+100 carretera Lagos de Moreno-Villa de Arriaga,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2022,240,160,"2,545,767.22","1,075,973.56"
1901,Biológicos,2017,Emergencia ambiental,"Autotransportes Dast, S.A. de C.V.","Isali, S.A. de C.V.",San_Luis_Potosí,Santa María del Río,Km 143 carretera federal No. 57 México-Piedras Negras,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2018,5960,585.5,"2,635,136.03","1,078,371.48"
530,Biológicos,2010,Emergencia ambiental,Pemex Refinación,N.E.I.,Veracruz_de_Ignacio_de_la_Llave,Ozuluama de Mascareñas,"Km 158+750 y 158+751 oleoducto de 24"" Ø Tres Hermanos-Madero Línea 1",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2013,3053.99,7236.23,"2,932,478.19","1,085,343.42"
1064,Combinación de procesos biológicos,2012,Emergencia ambiental,"Express y Tanques del Golfo, S.A. de C.V.","Isali, S.A. de C.V.",Aguascalientes,Aguascalientes,"Km 011+300 carretera estatal No. 69, tramo carretera federal No. 45 sur a San Bartolo-Coyotes",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado y biorremediación por landfarming en el sitio contaminado,2013,1734.52,1238.94,"2,481,011.70","1,080,697.95"
975,Biológicos,2011,Emergencia ambiental,"Express y Tanques Especializados, S.A. de C.V.","Isali, S.A. de C.V.",Jalisco,Ojuelos de Jalisco,"Km 035+400 carretera federal No. 70 Tampico-Sánchez Román, tramo Ojuelos-límite de Aguascalientes",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2013,94.21,20.86,"2,513,909.14","1,081,918.71"
1936,Químicos,2017,Emergencia ambiental,Rafael Amezcua Cordero,"Isali, S.A. de C.V.",San_Luis_Potosí,Villa de Reyes,Km 036+600 carretera San Luis Potosí ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Ácidos,Ácidos y bases,Neutralización química a un lado del sitio contaminado,2019,17,20.4,"2,595,154.14","1,089,151.17"
