No. de registro,Clasificación de técnica o proceso de tratamiento,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Responsable técnico de la remediación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Técnica o proceso de tratamiento,Año de conclusión de la remediación,Área de suelo remediado m²,Volumen de suelo remediado m³,x,y
1626,Disposición final,2014,Pasivo ambiental,"Dana de México Corporación, S. de R.L. de C.V. Dana Ejes 1 Planta 404","Corporación Hidro Industrial, S.A. de C.V.",México,Toluca,"Avenida Albert Einstein No. 401, zona industrial Toluca",Derrames y/o fugas,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,Fabricación de equipo de transporte,Hidrocarburos pesados,Hidrocarburos,Disposición final fuera del sitio,2016,92.5,170,"2,750,619.76","812,677.32"
1548,Disposición final,2014,Pasivo ambiental,"Mahle Componentes de Motor de México, S. de R.L. de C.V.","Integrated Environmental Management Services, S.A. de C.V.",México,Lerma,"Avenida Santa Rosa No. 265 manzana 19, parque industrial Lerma",Derrames y/o fugas,Fabricación de motores y sus partes para vehículos automotrices ,Fabricación de equipo de transporte,Metales,Metales y metaloides,Disposición final fuera del sitio,2015,605,374,"2,758,644.01","813,030.25"
2301,Combinación de procesos biológicos,2021,Emergencia ambiental,"Autotanques Petroquímicos, S.A. de C.V.","Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Ciudad_de_México,Cuajimalpa de Morelos,Carretera México-Toluca km 31+950 colonia Las Cruces,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado y bioventeo aerobio en el sitio contaminado,2022,1418.45,1635,"2,776,631.82","813,376.93"
1299,Térmicos,2012,Pasivo ambiental,"Fisher Controles de México, S.A. de C.V.","Integrated Environmental Management Services, S.A. de C.V.",México,Toluca,"Avenida Industrias Químicas No. 203, zona industrial",Derrames y/o fugas,Fabricación de válvulas metálicas,Fabricación de productos metálicos,Hidrocarburos pesados,Hidrocarburos,Co-procesamiento,2014,33.94,51.43,"2,751,086.95","813,061.92"
382,Biológicos,2009,Pasivo ambiental,ICA/Alstom/Carso Consorcio Línea 12,"Gaan Consultores, S.A. de C.V.",Ciudad_de_México,Tláhuac,Avenida Tláhuac No. 6646 entre las calles Felipe Ángeles y 16 de Septiembre Barrios centro y sur colonia Zapotitlán,Derrames y/o fugas,Construcción de obras para transporte eléctrico y ferroviario,Construcción de obras de ingeniería civil,Hidrocarburos pesados,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2013,198.4,453.4,"2,811,121.90","814,475.50"
768,Químicos,2011,Emergencia ambiental,"Alas del Monte, S.A. de C.V.","Química Apollo, S.A. de C.V.",México,Ocoyoacac,"Km 038+700 carretera México-Toluca, paraje conocido como La Escondida",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Bases,Ácidos y bases,Neutralización química a un lado del sitio contaminado,2013,150,15,"2,771,346.88","813,737.80"
1745,Combinación de procesos biológicos-físicos,2015,Pasivo ambiental,"Signa, S.A. de C.V.","Germen, S.A. de C.V.",México,Toluca,"Avenida Industria Automotriz No. 301, zona industrial Toluca",Derrames y/o fugas,Fabricación de preparaciones farmacéuticas,Industria química,Hidrocarburos de fracción media,Hidrocarburos,Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2019,526.57,1816,"2,748,937.85","813,350.82"
1427,Disposición final,2013,Pasivo ambiental,"Laboratorios Kendrick, S.A.","ERM México, S.A. de C.V.",Ciudad_de_México,Coyoacán,"Textitlán No. 42, Santa Úrsula Coapa, Coyoacán",Derrames y/o fugas,Fabricación de preparaciones farmacéuticas,Industria química,"Hidrocarburos, metales",Mezcla de contaminantes,Disposición final fuera del sitio,2014,29,38,"2,799,735.36","814,714.44"
1734,Biológicos,2015,Emergencia ambiental,"Transportadores Unidos TUSA, S.A. de C.V.","Isali, S.A. de C.V.",México,Ixtapaluca,Boulevard San Buenaventura esquina Circuito Exterior Mexiquense,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,254.5,409.3,"2,827,774.88","815,679.03"
1815,Térmicos,2016,Pasivo ambiental,"Siahu Hamui Sitton, Moisés Farca Amiga, Joaquín Humberto Caceres Ferez S Isidro Sirazi Cherem","VM Chávez Ingenieros, S.A. de C.V.",Ciudad_de_México,Coyoacán,"Avenida División del Norte No. Ext. 3443, colonia San Pablo Tepetlapa",Derrames y/o fugas,Fabricación de preparaciones farmacéuticas,Industria química,"Hidrocarburos, metales y metaloides",Mezcla de contaminantes,Co-procesamiento,2018,2733.41,10857.21,"2,799,549.46","817,373.81"
2298,Biológicos,2021,Emergencia ambiental,Javier Cantú Barragán,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",México,Toluca,Carretera Toluca-Atlacomulco en el km 6+000,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2022,360.11,369.11,"2,744,436.38","817,340.01"
2009,Biológicos,2018,Pasivo ambiental,"Asociación Mexicana de Cultura, A.C.","TRG México, S. de R.L. de C.V. ",Ciudad_de_México,Álvaro Obregón,"Boulevard Adolfo López Mateos No. 230, colonia Progreso Tizapán",Derrames y/o fugas,Estacionamientos y pensiones para vehículos automotores. Actual: Actividades administrativas de instituciones de bienestar social,"Servicios personales. Actual: Actividades legislativas, gubernamentales y de impartición de justicia",Hidrocarburos de fracción media,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2022,2.79,4.18,"2,793,150.75","819,096.18"
1862,Térmicos,2016,Pasivo ambiental,"Janssen México, S. de R.L de C.V.","Corporación Ambiental de México, S.A. de C.V.",Ciudad_de_México,Coyoacán,"Avenida Miguel Ángel de Quevedo No. 247, colonia Romero de Terreros",Derrames y/o fugas,Fabricación de preparaciones farmacéuticas,Industria química,Hidrocarburos de fracción media y pesados,Hidrocarburos,Co-procesamiento,2022,379.89,1701.49,"2,795,625.58","819,370.91"
488,Biológicos,2010,Pasivo ambiental,"Grupo Celanese, S. de R.L. de C.V.","Corporación Ambiental de México, S.A. de C.V.",Ciudad_de_México,Álvaro Obregón,"Calle Tecoyotitla No. 412, colonia Hacienda de Guadalupe",Derrames y/o fugas,Fabricación de fibras químicas,Industria química,Hidrocarburos de fracción media,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2014,9900,13010,"2,795,061.82","819,805.25"
758,Disposición final,2011,Pasivo ambiental,"Mallinckrodt Medical, S.A. de C.V.","ERM México, S.A. de C.V.",Ciudad_de_México,Iztapalapa,Ermita Iztapalapa No. 1514 Barrio San Miguel C.P. 09360,Derrames y/o fugas,Comercio al por mayor de productos farmacéuticos,"Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",Hidrocarburos de fracción media y pesados,Hidrocarburos,Disposición final fuera del sitio,2012,165,580,"2,805,548.71","820,712.45"
1840,Biológicos,2016,Emergencia ambiental,"Servicios Administrativos ACCSA, S.C.","Ecología 2000, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,La Antigua,Km 214+700 autopista Cardel–Veracruz,Derrame,Servicios de administración de bienes raíces,Servicios inmobiliarios,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2018,123.8,150.16,"3,090,135.77","830,691.68"
656,Térmicos,2011,Pasivo ambiental,"Ingenieros Civiles Asociados, S.A. de C.V.","Sistemas de Tratamiento Ambiental, S.A. de C.V.",Ciudad_de_México,Benito Juárez,Avenida Félix Cuevas esquina avenida Universidad colonia Santa Cruz Atoyac,Derrames y/o fugas,Construcción de obras de urbanización ,Construcción de obras de ingeniería civil,Hidrocarburos ligeros y de fracción media,Hidrocarburos,Co-procesamiento,2012,1175,4102,"2,796,974.43","822,171.68"
1180,Biológicos,2012,Emergencia ambiental,"Autofletes Javier, S. de R.L. de C.V.","Ecología 2000, S.A. de C.V.",Colima,Minatitlán,"Carretera Colima-Minatitlán, a 200 m del crucero al cerro de los Juanes camino a Peña Colorada",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2013,153.66,158.99,"2,282,206.88","821,588.64"
1555,Biológicos,2014,Pasivo ambiental,"Banca Mifel, S.A.","Biomex Solutions, S. de R.L. de C.V.",Ciudad_de_México,Benito Juárez,Pitágoras No. 432 esquina diagonal San Antonio colonia Narvarte C.P. 03020,Derrames y/o fugas,Otros servicios de reparación y mantenimiento de automóviles y camiones. Actual: Banca múltiple,Servicios de reparación y mantenimiento. Actual: Instituciones de intermediación crediticia y financiera no bursátil,Hidrocarburos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2016,400,1275,"2,797,697.18","824,848.66"
271,Biológicos,2009,Pasivo ambiental,Aeropuertos y Servicios Auxiliares,"Universidad Nacional Autónoma de México, Instituto de Ingeniería ",Michoacán_de_Ocampo,Uruapan,Avenida Latinoamericana S  fraccionamiento San José Obrero,Derrames y/o fugas,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Hidrocarburos ligeros,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2010,1.49,2.48,"2,495,801.56","822,355.63"
1839,Biológicos,2016,Pasivo ambiental,"Dana de México Corporación, S. de R.L. de C.V. División Forjas","Germen, S.A. de C.V.",Tlaxcala,Xaloztoc,"Carretera federal México-Veracruz en el km 143.6, San Cosme Xaloztoc",Derrames y/o fugas,Fabricación de partes de sistemas de transmisión para vehículos automotores,Fabricación de equipo de transporte,Hidrocarburos pesados,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2018,250,331,"2,910,973.21","828,143.54"
1766,Biológicos,2015,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",México,Toluca,"Km 016+000 carretera Toluca-Palmillas, tramo Toluca-Atlacomulco",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,126,126,"2,739,278.32","824,982.40"
1113,Disposición final,2012,Pasivo ambiental,"Inversiones Domus, S.A. de C.V.","Pruhesa México, S.A. de C.V.",Ciudad_de_México,Venustiano Carranza,"Boulevard Puerto Aéreo No.34, colonia Santa Cruz Aviación",Derrames y/o fugas,Reparación y mantenimiento de maquinaria y equipo industrial. Actual: Inmobiliarias y corredores de bienes raíces,Servicios de reparación y mantenimiento. Actual: Servicios inmobiliarios,Hidrocarburos de fracción media y pesados,Hidrocarburos,Disposición final fuera del sitio,2013,14.74,24.43,"2,804,042.69","827,970.64"
1915,Disposición final,2017,Pasivo ambiental,"Servicio Panamericano de Protección, S.A. de C.V.","Residuos Industriales Multiquim, S.A. de C.V.",Ciudad_de_México,Cuauhtémoc,"Eje Central Lázaro Cárdenas No. 78, colonia Obrera",Derrames y/o fugas,"Servicios de investigación y de protección y custodia, excepto mediante monitoreo",Servicios de apoyo a los negocios,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,Disposición final fuera del sitio,2018,280.22,968.63,"2,799,231.46","827,985.39"
2335,Biológicos,2021,Emergencia ambiental,"Comercial Flosol, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Jalisco,La Huerta,"Km 048+600 carretera federal No. 200, entre las localidades Emiliano Zapata y Careyes",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2023,195,355.55,"2,185,876.90","828,373.52"
698,Térmicos,2011,Pasivo ambiental,"Corporativo Pedregal Hispamex, S.A. de C.V.","VM Chávez Ingenieros, S.A. de C.V.",Ciudad_de_México,Miguel Hidalgo,Calle Pedregal No. 24 colonia Molino del Rey,Derrames y/o fugas,N.E.I. Actual: Otras construcciones de ingeniería civil ,N.E.I. Actual: Construcción de obras de ingeniería civil,Hidrocarburos ligeros,Hidrocarburos,Co-procesamiento,2012,52.5,132.41,"2,792,826.72","828,106.11"
2131,Térmicos,2021,Pasivo ambiental,"Fame Centro, S.A. de C.V.","Tratamientos Integrales MV, S.A. de C.V.",Ciudad_de_México,Cuauhtémoc,"Eje 1 Sur Dr. Río de la Loza No. 45, colonia Doctores, C.P. 06720",Derrames y/o fugas,Otros servicios de reparación y mantenimiento de automóviles y camiones ,Servicios de reparación y mantenimiento,Hidrocarburos de fracción media,Hidrocarburos,Co-procesamiento,2022,25.8,41.49,"2,799,009.73","828,237.20"
379,Combinación de procesos biológicos-disposición final,2009,Emergencia ambiental,"Especialíquidos, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Michoacán_de_Ocampo,Salvador Escalante,"Km 079+500 carretera federal No. 14D (autopista Siglo XXI), tramo Pátzcuaro-Uruapan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado y disposición final fuera del sitio,2010,1525,210,"2,519,163.52","826,308.39"
2024,Biológicos,2018,Pasivo ambiental,"Inmuebles de Oriente, S.A. de C.V.","Pruhesa México, S.A. de C.V.",Ciudad_de_México,Venustiano Carranza,"Héroe de Nacozari No. 106, colonia Penitenciaria",Derrames y/o fugas,Otros servicios de reparación y mantenimiento de automóviles y camiones.. Actual: Inmobiliarias y corredores de bienes raíces,Servicios de reparación y mantenimiento. Actual: Servicios inmobiliarios,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2021,550.6,1606.8,"2,801,920.11","829,433.02"
1283,Combinación de procesos biológicos-físicos,2012,Pasivo ambiental,"Mabe México, S. de R.L. de C.V.","Germen, S.A. de C.V.",Ciudad_de_México,Venustiano Carranza,"Calle Oriente 162 No. 296, colonia Moctezuma 2da. Sección",Derrames y/o fugas,Reparación y mantenimiento de aparatos eléctricos para el hogar y personales ,Servicios de reparación y mantenimiento,Hidrocarburos ligeros y pesados,Hidrocarburos,Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2014,1943.68,3590.32,"2,804,255.68","829,913.60"
700,Químicos,2011,Pasivo ambiental,"Laminadora Mexicana de Metales, S.A. de C.V.",Universidad Autónoma Metropolitana,Ciudad_de_México,Miguel Hidalgo,"Calle Lago Neuchatel No. 21 colonia Ampliación Granada, C.P. 11320",Derrames y/o fugas,"Fabricación de tornillos, tuercas, remaches y similares",Fabricación de productos metálicos,Hidrocarburos pesados,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2015,905.69,1337.6,"2,793,004.58","829,780.92"
1343,Biológicos,2012,Emergencia ambiental,Fletes Oscar Obregón Solís,Ana Lilia Sánchez Hernández,Michoacán_de_Ocampo,Pátzcuaro,"Km 036+500 camino nacional No. 120 Tamuin-Tepalcatepec, tramo Quiroga-Los Sabinos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2014,354,354,"2,541,319.05","827,291.19"
1845,Disposición final,2016,Pasivo ambiental,"Plaza Carso II, S.A. de C.V.",Quiesma Ingeniería Bioquímica para el Medio Ambiente S.A. de C.V.,Ciudad_de_México,Miguel Hidalgo,"Calle de Lago Zurich, No. 243, colonia Ampliación Granada",Derrames y/o fugas,"Fabricación de automóviles y camionetas. Actual: Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales, excepto la supervisión",Fabricación de equipo de transporte. Actual: Edificación,"Metales, metaloides",Metales y metaloides,Disposición final fuera del sitio,2017,390.15,1113.95,"2,792,815.13","830,209.99"
92,Disposición final,2008,Pasivo ambiental,"Vidriera Cosmos, S.A. de C.V. ","Germen, S.A. de C.V.",Ciudad_de_México,Miguel Hidalgo,Lago Zurich No. 219 y 243 colonia Anáhuac,Derrames y/o fugas,Fabricación de vidrio ,Fabricación de productos a base de minerales no metálicos,Hidrocarburos,Hidrocarburos,Disposición final fuera del sitio,2009,3220,2832.77,"2,792,834.36","830,293.19"
14,Químicos,2008,Pasivo ambiental,"Esparta Desarrollo Urbano, S.A. de C.V.","Universidad Autónoma Metropolitana, Laboratorio de Calidad del Agua y Residuos",Ciudad_de_México,Miguel Hidalgo,"Calle Lago Zurich No. 168, colonia Ampliación Granada",Derrames y/o fugas,Fabricación de otros productos de hierro y acero. Actual: Servicios de consultoría en administración,"Industrias metálicas básicas. Actual: Servicios profesionales, científicos y técnicos","Ácidos, hidrocarburos pesados",Mezcla de contaminantes,Oxidación química a un lado del sitio contaminado,2009,1089.14,1510,"2,792,883.14","830,298.19"
1188,Disposición final,2012,Pasivo ambiental,Inmobiliaria Colpal S. de R.L. de C.V.,"ERM México, S.A. de C.V.",Ciudad_de_México,Miguel Hidalgo,"Planta Legaría, el sitio se ubica en los predios (1) Presa La Angostura No. 225, colonia Irrigación, (2), calzada Legaría No. 560 esquina avenida Río San Joaquín, colonia Irrigación",Derrames y/o fugas,"Fabricación de jabones, limpiadores y dentífricos. Actual: Alquiler sin intermediación de otros bienes raíces",Industria química. Actual: Servicios inmobiliarios,"Hidrocarburos, metales",Mezcla de contaminantes,Disposición final fuera del sitio,2016,6780,31254,"2,792,548.08","830,387.04"
1539,Combinación de procesos biológicos-físicos,2014,Emergencia ambiental,Aeropuertos y Servicios Auxiliares,"Geología y Medio Ambiente, S.A. de C.V.",Ciudad_de_México,Gustavo A. Madero,Estación de Combustibles México (ECM) frente a Taller de Mantenimiento del Aeropuerto Internacional,Derrame,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2015,1250,2500,"2,806,210.44","830,761.42"
1440,Biológicos,2013,Emergencia ambiental,"Transportes Cepsa, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Jalisco,Tuxpan,"Km 118+950 carretera No. 54D Guadalajara-Colima, tramo Ciudad Guzmán-límite estado de Colima",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2016,335.1,67.02,"2,345,651.19","828,565.45"
2017,Térmicos,2018,Pasivo ambiental,"Inmobiliaria Ashdod, S.A.P.I. de C.V.","Remediaciones, Mantenimiento y Tecnología en Medio Ambiente, S.A. de C.V.",Ciudad_de_México,Cuauhtémoc,"Juan Aldama, lote 5, colonia Buenavista",Derrames y/o fugas,Otros servicios de reparación y mantenimiento de automóviles y camiones. Actual: Inmobiliarias y corredores de bienes raíces,Servicios de reparación y mantenimiento. Actual: Servicios inmobiliarios,Hidrocarburos de fracción media y pesados,Hidrocarburos,Co-procesamiento,2020,1148.28,2037,"2,798,439.12","830,830.32"
1516,Biológicos,2013,Emergencia ambiental,"Transportes Albser, S.A. de C.V.","Isali, S.A. de C.V.",Michoacán_de_Ocampo,Tingambato,"Km 74+350 carretera federal No. 14D, autopista Pátzcuaro-Uruapan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2016,342,446,"2,524,486.55","828,089.70"
1589,Térmicos,2014,Pasivo ambiental,"Exxonmobil Comercial, S.A. de C.V.","ERM México, S.A. de C.V.",Ciudad_de_México,Cuauhtémoc,"Calle Heliotropo No. 145, colonia Atlampa",Derrames y/o fugas,Fabricación de aceites y grasas lubricantes,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos pesados,Hidrocarburos,Co-procesamiento,2019,266,399,"2,797,124.37","831,880.53"
2279,Químicos,2021,Pasivo ambiental,Gobierno de la Ciudad de México,"Obras y Servicios JISA, S.A de C.V.",Ciudad_de_México,Cuauhtémoc,"Fresno No. 409, en la colonia Atlampa",Derrames y/o fugas,Otros servicios de almacenamiento con instalaciones especializadas,Servicios de almacenamiento,Petrolíferos,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2022,2853.52,2441.88,"2,797,461.94","832,199.79"
1752,Térmicos,2015,Pasivo ambiental,"Sintenovo, S.A. de C.V.","Corporación Ambiental de México, S.A. de C.V.",México,Naucalpan de Juárez,"Calle 4 No. 26, colonia Fraccionamiento Industrial Alce Blanco, C.P. 53370",Derrames y/o fugas,Fabricación de preparaciones farmacéuticas,Industria química,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,Co-procesamiento,2017,1166.22,3195.55,"2,790,633.01","832,682.96"
31,Disposición final,2008,Pasivo ambiental,"Promotora Reside, S.A. de C.V. Ricardo Ruiz Molina y Federico Ruiz Sacristán (albaceas del predio)","Residuos Industriales Multiquim, S.A. de C.V.",Ciudad_de_México,Azcapotzalco,Avenida Jardín No. 330 colonia Ampliación del Gas,Derrames y/o fugas,Fabricación de enseres electrodomésticos menores,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica","Hidrocarburos de fracción media, metales",Mezcla de contaminantes,Disposición final fuera del sitio,2014,220,199,"2,797,298.41","832,965.59"
1818,Térmicos,2016,Pasivo ambiental,"KUO Motor, S.A. de C.V.","Corporación Ambiental de México, S.A. de C.V.",México,Naucalpan de Juárez,"Calle 4 No. 22, fraccionamiento industrial Alce Blanco",Derrames y/o fugas,Fabricación de motores y sus partes para vehículos automotrices,Fabricación de equipo de transporte,Hidrocarburos,Hidrocarburos,Co-procesamiento,2023,379.85,2275.14,"2,790,831.69","833,110.07"
1243,Biológicos,2012,Emergencia ambiental,"Transporte y Servicios STN, S.A. de C.V.","Isali, S.A. de C.V.",Michoacán_de_Ocampo,Salvador Escalante,"Km 071+150 camino nacional No. 14D Pátzcuaro-Uruapan, tramo Puente Ajuno-Uruapan, localidad de Zirahuén",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2014,109.98,60.48,"2,526,299.97","830,580.40"
1317,Disposición final,2012,Pasivo ambiental,"Procter & Gamble Manufacturing México, S. de R.L. de C.V.","ERM México, S.A. de C.V.",Ciudad_de_México,Gustavo A. Madero,"Avenida Talismán No. 210, colonia Tres Estrellas",Derrames y/o fugas,"Fabricación de jabones, limpiadores y dentífricos",Industria química,Hidrocarburos de fracción media y pesados,Hidrocarburos,Disposición final fuera del sitio,2014,329.35,483.41,"2,802,621.65","833,887.21"
1020,Térmicos,2011,Pasivo ambiental,"Consorcio Hogar del Centro, S.A. de C.V.","Gsg Consultores Ambientales, S.C.",Ciudad_de_México,Gustavo A. Madero,Avenida Ferrocarril Hidalgo No. 1404 colonia Aragón La Villa,Derrames y/o fugas,Fabricación de productos de plástico para el hogar con y sin reforzamiento. Actual: Inmobiliarias y corredores de bienes raíces,Industria del plástico y del hule. Actual: Servicios inmobiliarios,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,Co-procesamiento,2013,27.26,94.71,"2,802,738.57","834,453.31"
1594,Disposición final,2014,Pasivo ambiental,"Industrias Arga, S.A. de C.V.","ERM México, S.A. de C.V.",Ciudad_de_México,Azcapotzalco,Poniente 116 No. 713 colonia Industrial Vallejo,Derrames y/o fugas,Fabricación de ataúdes,Otras industrias manufactureras,Hidrocarburos de fracción media y pesados,Hidrocarburos,Disposición final fuera del sitio,2016,21,126,"2,796,583.84","834,758.49"
1249,Biológicos,2012,Pasivo ambiental,"IPB Uno, S.A. de C.V.","TRG México, S. de R.L. de C.V.",Ciudad_de_México,Azcapotzalco,"Calzada Vallejo No. 1090, colonia Santa Cruz de Las Salinas",Derrames y/o fugas,"Fabricación de cartón y cartoncillo a partir de pulpa. Actual: Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales, excepto la supervisión",Industria del papel. Actual: Edificación,Hidrocarburos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2014,969.21,2491,"2,798,008.77","835,031.46"
384,Disposición final,2009,Pasivo ambiental,"Empresas Ca-Le de Tlaxcala, S.A. de C.V.",Juan Héctor Vargas Ríos,Tlaxcala,Tetla de la Solidaridad,"Manzana 2 Sección C, Ciudad industrial Xicoténcatl 1 ",Derrames y/o fugas,Fabricación de motores y sus partes para vehículos automotrices,Fabricación de equipo de transporte,"Metales, metaloides",Metales y metaloides,Disposición final fuera del sitio,2012,2378,2780.51,"2,912,172.20","837,987.18"
133,Biológicos,2008,Emergencia ambiental,"Transportes Promotores de Servicio, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Xalapa,Km 010+600 carretera Xalapa-Veracruz,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,150.13,150.13,"3,043,092.81","842,499.06"
297,Disposición final,2009,Emergencia ambiental,"Transportes Gomher, S.A. de C.V.","Ecología 2000, S.A. de C.V.",México,Texcoco,Km 020+300 en la unión de la carretera Texcoco-Lechería y la autopista México-Texcoco,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Disposición final fuera del sitio,2009,647,125.54,"2,824,950.09","837,342.18"
1970,Térmicos,2018,Pasivo ambiental,"Bosch Rexroth, S.A. de C.V.","Integrated Environmental Management Services, S.A. de C.V.",Ciudad_de_México,Gustavo A. Madero,"Naves Neptuno No. 66 y 72, colonia Nueva Industrial Vallejo C.P. 07700",Derrames y/o fugas,Comercio al por mayor de otra maquinaria y equipo de uso general,"Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general",Hidrocarburos pesados,Hidrocarburos,Co-procesamiento,2018,1,1.3,"2,798,324.26","836,943.45"
1285,Biológicos,2012,Emergencia ambiental,"Transportación Carretera, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Tlaxcala,Lázaro Cárdenas,"Km 197+600 No.M40D autopista Arco Norte, tramo Sanctorum-San Martín Texmelucan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2014,10858,811,"2,869,750.90","838,584.14"
1601,Disposición final,2014,Pasivo ambiental,"Gen Industrial, S.A. de C.V.","Ecototal, S.A. de C.V.",Ciudad_de_México,Azcapotzalco,Poniente 148 No. 901 colonia Industrial Vallejo,Derrames y/o fugas,Tratamiento y disposición final de residuos peligrosos por el sector privado,Manejo de residuos y servicios de remediación,Metales,Metales y metaloides,Disposición final fuera del sitio,2016,25.47,17.63,"2,796,031.24","836,968.72"
2092,Químicos,2020,Emergencia ambiental,"Transportes Distribuidora de Sosa, S.A de C.V.","Ecología 2000, S.A. de C.V.",Jalisco,Tuxpan,Km 111+000 carretera federal No. 54D Guadalajara-Colima,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Ácidos,Ácidos y bases,Neutralización química a un lado del sitio contaminado,2021,30,36,"2,349,019.50","835,518.83"
