Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
1349,Pasivo ambiental,Pemex Refinación,San_Luis_Potosí,San Luis Potosí,"Terminal de Almacenamiento y Reparto de San Luis Potosí, avenida Observatorio y la calle Barcelona, colonia Españota, C.P. 78378",Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos,Hidrocarburos,40382.6,160486.61,No,-100.955,22.137,,,,,,2012,
1350,Emergencia ambiental,Pemex Refinación,Jalisco,Tala,"Km 288+340 poliducto de 16 Ø Salamanca-Guadalajara, comunidad Cuxpala",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,141.8,121.4,Si,-103.649,20.553,,,,,,2012,
1351,Emergencia ambiental,"Autotanques Nieto, S.A. de C.V.",Campeche,Palizada,"Km 193+600 camino nacional No. 186 Villahermosa-Escárcega, tramo caseta Fitosanitaria 3 Brazos-Río Chumpan",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,300,300,Si,-91.514,18.209,,,,,,2012,
1352,,,,,"Km 108+150 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo Totolápam-El Camarón",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2014,66.4,,125.84
1353,,,,,"Km 058+800 camino nacional No. 43D Morelia-Salamanca, tramo La Cinta-Cerro Gordo",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2015,421.8,,229.26
1354,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,A 2.3 kilómetros al sur de la comunidad Adolfo Ruiz Cortines,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,980.11,786.43,Si,-97.306,20.572,,,,,,2012,
1355,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Pozo Volador 1-B, el sitio se ubica a una distancia aproximada de 4.5 kilómetros al sur de la comunidad Adolfo Ruiz Cortines ",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,809.9,697.02,Si,-97.285,20.558,,,,,,2012,
1356,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Álamo Temapache,Presa del Pozo Álamo 46-A,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,2839.51,8197.98,Si,-97.675,20.918,,,,,,2012,
1357,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Juan Rodríguez Clara,"Km 109+629 poliducto de 12"" Ø Minatitlán-México, en el Hatillo",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,N.E.I.,N.E.I.,No,-95.463,18.161,,,,,,2012,
1358,Pasivo ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Veracruz,"Avenida 5 de Mayo Norte S , esquina Yáñez, colonia Manual Contreras C.P. 91700",Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,137909.42,194690.83,Si,-96.144,19.205,,,,,,2012,
